V200011a,V202144,V201200,V202064,V202064z,V202637,V201549x,V203000
0.689054237745403,100,6,-1,-3,-1,3,40
1.08926322977489,15,4,-1,-3,-1,4,16
0.688799161453653,0,2,-1,-3,-1,1,51
0.731815317325184,60,3,-1,-3,-1,4,6
1.01398969875634,90,5,-1,-3,-1,5,8
0.398908062450189,0,4,-1,-3,-1,1,48
0.618292388425246,70,4,-1,-3,-1,1,55
0.899179405189399,0,99,-1,-3,-1,1,28
1.2178901983983,0,99,-1,-3,-1,1,4
2.38377016310758,30,99,-1,-3,-1,3,6
1.68634931741708,0,99,-1,-3,-1,3,24
0.990567540526511,0,4,-1,-3,-1,1,55
0.386512355328355,100,6,2,-3,-1,1,41
0.495051689354203,0,3,-1,-3,-1,4,51
1.30442249637415,40,4,1,-3,-1,2,37
0.432823342457295,100,6,2,-3,-1,3,16
1.02468624156048,0,3,-1,-3,-1,1,25
0.739847109581167,0,3,-1,-3,-1,1,33
0.624972677584408,15,2,-1,-3,-1,1,32
0.615154344865336,0,3,-1,-3,-1,1,55
0.905664226997706,95,6,-1,-3,-1,3,42
2.33694893933791,0,4,-1,-3,-1,3,6
6.56299373141085,0,2,-1,-3,-1,1,36
1.41265491316912,50,6,-1,-3,-1,1,4
4.84064147144814,0,99,-1,-3,-1,3,6
0.793906469135198,0,2,-1,-3,-1,1,13
0.88394093286617,85,99,-1,-3,-1,1,37
0.674931198017604,50,5,-1,-3,-1,1,51
0.8379733952294,0,5,-1,-3,-1,1,36
1.51735827906212,0,4,-1,-3,-1,3,4
1.00234624266671,-9,99,-1,-3,-1,4,15
0.809903470897296,0,4,-1,-3,-1,5,8
0.398035682223375,0,2,-1,-3,-1,1,16
0.572681986563373,100,6,-1,-3,-1,1,55
1.22018250921402,0,2,-1,-3,-1,1,36
0.732199826289674,85,99,-1,-3,-1,1,48
0.944764077363574,40,99,-1,-3,-1,2,17
1.3740861854971,0,1,-1,-3,-1,1,39
0.718785504722094,0,1,-1,-3,-1,1,5
0.604818571684704,100,6,-1,-3,-1,1,13
0.383101506588091,70,6,-1,-3,-1,1,48
0.583640824146091,10,4,-1,-3,-1,2,42
0.709468340332543,100,7,-1,-3,-1,1,35
0.540349167985318,100,7,-1,-3,-1,1,20
0.724719733909441,70,3,-1,-3,-1,1,6
0.374339568796827,85,6,-1,-3,-1,1,29
1.13719727655147,0,2,-1,-3,-1,1,42
0.570873190364521,0,3,-1,-3,-1,1,27
0.349680491677339,95,4,-1,-3,-1,4,6
0.490899092355772,0,6,-1,-3,-1,1,29
0.825337680399498,0,4,-1,-3,-1,5,48
0.349997585933023,0,2,-1,-3,-1,2,51
2.11920141044421,-6,4,-6,-3,-6,1,39
1.75551664865619,100,99,2,-3,-1,1,21
1.15034589442467,100,4,-1,-3,-1,-9,42
3.92447212167078,-6,6,-6,-3,-6,1,4
0.305873806743335,0,3,-1,-3,-1,1,13
0.530103058453414,0,3,-1,-3,-1,1,36
1.40845534055944,0,4,-1,-3,-1,1,39
0.8122242096928,100,6,-1,-3,-1,1,48
0.75545359897674,30,5,-1,-3,-1,1,17
0.659057542157275,35,4,-1,-3,-1,1,30
0.767439457038454,0,2,-1,-3,-1,1,47
0.350013777231505,40,2,-1,-3,-1,6,22
0.311650753670213,0,2,-1,-3,-1,1,34
0.796947469291149,0,4,-1,-3,-1,1,6
1.4478399445187,0,5,-1,-3,-1,6,6
0.966972195032808,0,1,-1,-3,-1,1,6
0.637561173291322,0,2,-1,-3,-1,1,8
0.255328417187767,0,2,-1,-3,-1,2,17
0.371965831003153,16,2,-1,-3,-1,1,6
0.580760105332281,0,3,-1,-3,-1,1,27
0.948890450711725,0,99,-1,-3,-1,1,27
2.12557510967714,0,99,-1,-3,-1,1,42
0.74784360669863,85,6,-1,-3,-1,1,42
1.42708615179515,50,99,-1,-3,-1,2,18
1.3632071117405,0,4,-1,-3,-1,2,36
0.500389546027785,0,2,-1,-3,-1,1,42
0.593621566976786,85,4,-1,-3,-1,1,12
0.485186603697165,0,5,-1,-3,-1,1,48
0.70294161754834,30,5,-1,-3,-1,1,40
0.640029071823041,100,7,-1,-3,-1,1,4
0.372828629685525,0,2,-1,-3,-1,1,10
0.669631388167653,0,99,-1,-3,-1,2,11
0.339157455532018,0,3,-1,-3,-1,1,18
0.59096060691077,0,4,-1,-3,-1,3,32
0.667216633999317,10,4,-1,-3,-1,1,12
0.71059570808315,0,3,-1,-3,-1,1,54
1.58820553385895,100,99,-1,-3,-1,1,25
1.11232966196577,60,5,-1,-3,-1,1,39
0.381656306067067,60,5,-1,-3,-1,1,51
1.92590510287959,100,2,-1,-3,-1,1,4
0.896110835165956,100,7,-1,-3,-1,1,40
1.03130129533529,0,3,-1,-3,-1,1,39
0.806502475167798,70,5,-1,-3,-1,5,15
0.345316142118051,100,6,-1,-3,-1,1,48
0.777917035631142,0,3,-1,-3,-1,1,25
0.413376151217377,0,4,-1,-3,-1,3,13
0.284427592543382,0,3,-1,-3,-1,1,45
0.347445921458322,40,4,-1,-3,-1,1,53
0.928716664160295,0,2,-1,-3,-1,6,42
0.810107864008074,40,3,-1,-3,-1,1,42
0.426373686333804,0,2,-1,-3,-1,1,6
0.778779806713915,85,6,-1,-3,-1,1,16
0.631484665638505,100,6,-1,-3,-1,1,18
1.20462457226387,0,2,-1,-3,-1,1,42
0.617842848388051,85,7,-1,-3,-1,1,24
1.31954796113891,100,5,-1,-3,-1,1,25
0.326196587326002,50,6,-1,-3,-1,5,20
2.74786194197649,0,4,-1,-3,-1,1,42
